Country;Country Code;International Prefix;National Prefix
Afghanistan;93;0;0
Albania;355;0;0
Algeria;213;0;0
American Samoa;1;11;1
Andorra;376;0;...
Angola;244;0;0
Anguilla;1;11;1
Antigua and Barbuda;1;11;1
Argentina;54;0;0
Armenia;374;0;0
Aruba;297;0;...
Australia;61;11;0
Australian External Territories;672;0;0
Austria;43;0;0
Azerbaijan;994;0;0
Bahamas;1;11;1
Bahrain;973;0;...
Bangladesh;880;0;0
Barbados;1;11;1
Belarus;375;810;8
Belgium;32;0;0
Belize;501;0;...
Benin;229;0;...
Bermuda;1;11;1
Bhutan;975;0;...
Bolivia (Plurinational State of);591;0;0
Bonaire, Sint Eustatius and Saba;599;0;0
Bosnia and Herzegovina;387;0;0
Botswana;267;0;...
Brazil;55;0;0
British Virgin Islands;1;11;1
Brunei Darussalam;673;0;...
Bulgaria;359;0;0
Burkina Faso;226;0;...
Burundi;257;0;...
Cambodia;855;001, 007;0
Cameroon;237;0;...
Canada;1;11;1
Cape Verde;238;0;...
Cayman Islands;1;11;1
Central African Rep.;236;0;...
Chad;235;0;...
Chile;56;1YZ0;1YZ
China;86;0;0
Colombia;57;009/007/005;09/07/05
Comoros;269;0;...
Congo;242;0;...
Cook Islands;682;0;...
Costa Rica;506;0;...
'Côte d''Ivoire';225;0;...
Croatia;385;0;0
Cuba;53;119;0
Curaçao;599;0;0
Cyprus;357;0;...
Czech Rep.;420;0;...
'Dem. People''s Rep. of Korea';850;0;0
Dem. Rep. of the Congo;243;0;0
Denmark;45;0;...
Diego Garcia;246;0;...
Djibouti;253;0;...
Dominica;1;11;1
Dominican Rep.;1;11;1
Ecuador;593;0;0
Egypt;20;0;0
El Salvador;503;0;...
Equatorial Guinea;240;0;...
Eritrea;291;0;0
Estonia;372;0;...
Ethiopia;251;0;0
Falkland Islands (Malvinas);500;0;...
Faroe Islands;298;0;...
Fiji;679;0;...
Finland;358;00,99X;0
France;33;0;0
French Dep. and Territories in the Indian Ocean;262;0;...
French Guiana;594;0;...
French Polynesia;689;0;...
Gabon;241;0;...
Gambia;220;0;...
Georgia;995;0;0
Germany;49;0;0
Ghana;233;0;0
Gibraltar;350;0;...
Global Mobile Satellite System (GMSS), shared;881; ; 
Greece;30;0;0
Greenland;299;0;...
Grenada;1;11;1
Group of countries, shared code;388; ; 
Guadeloupe;590;0;...
Guam;1;11;1
Guatemala;502;0;...
Guinea;224;0;...
Guinea-Bissau;245;0;...
Guyana;592;1;...
Haiti;509;0;...
Honduras;504;0;...
Hong Kong, China;852;1;...
Hungary;36;0;6
Iceland;354;0;...
India;91;0;0
Indonesia;62;001.008;0
Inmarsat SNAC;870;0;...
International Freephone Service;800;...;...
International Networks, shared code;882; ; 
International Networks, shared code;883; ; 
International Premium Rate Service (IPRS);979;...;...
International Shared Cost Service (ISCS);808;...;...
Iran (Islamic Republic of);98;0;0
Iraq;964;0;0
Ireland;353;0;0
Israel;972;00,012,013,014;0
Italy;39;0;...
Jamaica;1;11;1
Japan;81;10;0
Jordan;962;0;0
Kazakhstan;7;810;8
Kenya;254;0;0
Kiribati;686;0;...
Korea (Rep. of);82;001.002;0.082
Kuwait;965;0;...
Kyrgyzstan;996;0;0
Lao P.D.R.;856;0;0
Latvia;371;0;...
Lebanon;961;0;0
Lesotho;266;0;...
Liberia;231;0;...
Libya;218;0;0
Liechtenstein;423;0;...
Lithuania;370;0;0
Luxembourg;352;0;...
Macao, China;853;0;...
Madagascar;261;0;...
Malawi;265;0;...
Malaysia;60;0;0
Maldives;960;0;...
Mali;223;0;...
Malta;356;0;...
Marshall Islands;692;11;1
Martinique;596;0;...
Mauritania;222;0;...
Mauritius;230;0;...
Mexico;52;0;1
Micronesia;691;11;1
Moldova (Republic of);373;0;0
Monaco;377;0;...
Mongolia;976;1;0
Montenegro;382;0;0
Montserrat;1;11;1
Morocco;212;0;0
Mozambique;258;0;...
Myanmar;95;0;0
Namibia;264;0;0
Nauru;674;0;...
Nepal;977;0;0
